episode,seat,step,day,item,requested,filled,revenue,weighted_price,floor_units
90104951,0,353,14,WOOL,6,0,0.0,0,0
90104951,1,353,14,WOOL,6,0,0.0,0,0
90104951,0,354,14,WOOL,6,0,0.0,0,0
90104951,1,354,14,WOOL,6,0,0.0,0,0
90104951,0,358,14,WOOL,7,0,0.0,0,0
90104951,1,358,14,WOOL,7,0,0.0,0,0
90104951,0,359,14,MELON,12,6,1276.0,212.666667,0
90104951,1,359,14,MELON,7,6,1276.0,212.666667,0
90104951,0,359,14,STRAWBERRY,6,0,0.0,0,0
90104951,1,359,14,STRAWBERRY,6,0,0.0,0,0
90104951,0,360,15,MELON,9,6,1179.0,196.5,0
90104951,1,360,15,MELON,9,6,1179.0,196.5,0
90104951,0,362,15,MELON,9,0,0.0,0,0
90104951,1,362,15,MELON,9,0,0.0,0,0
90104951,0,364,15,WOOL,4,4,264.0,66.0,0
90104951,1,364,15,WOOL,4,4,264.0,66.0,0
90104951,0,365,15,MILK,11,9,911.0,101.222222,0
90104951,1,365,15,MILK,11,9,911.0,101.222222,0
90104951,0,366,15,WOOL,4,0,0.0,0,0
90104951,1,366,15,WOOL,4,0,0.0,0,0
90104951,0,367,15,MILK,11,0,0.0,0,0
90104951,1,367,15,MILK,11,0,0.0,0,0
90104951,0,370,15,WOOL,9,0,0.0,0,0
90104951,1,370,15,WOOL,9,0,0.0,0,0
90104951,0,371,15,MILK,15,0,0.0,0,0
90104951,1,371,15,MILK,15,0,0.0,0,0
90104951,0,375,15,WOOL,6,0,0.0,0,0
90104951,1,375,15,WOOL,6,0,0.0,0,0
90104951,0,384,16,WOOL,8,4,121.0,30.25,0
90104951,1,384,16,WOOL,8,4,121.0,30.25,0
90104951,0,385,16,MILK,11,9,911.0,101.222222,0
90104951,1,385,16,MILK,11,9,741.0,82.333333,0
90104951,0,387,16,MILK,11,0,0.0,0,0
90104951,1,387,16,MILK,11,0,0.0,0,0
90104951,0,391,16,MILK,35,0,0.0,0,0
90104951,1,391,16,MILK,35,0,0.0,0,0
90104951,0,407,16,WOOL,4,0,0.0,0,0
90104951,1,407,16,WOOL,4,0,0.0,0,0
90104951,0,408,17,MILK,18,9,735.0,81.666667,0
90104951,1,408,17,MILK,11,9,701.0,77.888889,0
90104951,0,409,17,MILK,11,0,0.0,0,0
90104951,1,409,17,MILK,11,0,0.0,0,0
90104951,0,411,17,MELON,1,0,0.0,0,0
90104951,1,411,17,MELON,1,0,0.0,0,0
90104951,0,415,17,STRAWBERRY,8,8,1976.0,247.0,0
90104951,1,415,17,STRAWBERRY,8,8,1976.0,247.0,0
90104951,0,416,17,STRAWBERRY,4,0,0.0,0,0
90104951,1,416,17,STRAWBERRY,4,0,0.0,0,0
90104951,0,417,17,STRAWBERRY,8,0,0.0,0,0
90104951,1,417,17,STRAWBERRY,8,0,0.0,0,0
90104951,0,421,17,STRAWBERRY,8,0,0.0,0,0
90104951,1,421,17,STRAWBERRY,8,0,0.0,0,0
90104951,0,423,17,MELON,5,0,0.0,0,0
90104951,1,423,17,MELON,5,0,0.0,0,0
90104951,0,423,17,WOOL,4,0,0.0,0,0
90104951,1,423,17,WOOL,4,0,0.0,0,0
90104951,0,424,17,WOOL,3,0,0.0,0,0
90104951,1,424,17,WOOL,3,0,0.0,0,0
90104951,0,435,18,STRAWBERRY,12,8,1984.0,248.0,0
90104951,1,435,18,STRAWBERRY,12,8,1984.0,248.0,0
90104951,0,436,18,MILK,12,12,996.0,83.0,0
90104951,1,436,18,MILK,4,4,380.0,95.0,0
90104951,0,437,18,STRAWBERRY,12,0,0.0,0,0
90104951,1,437,18,STRAWBERRY,12,0,0.0,0,0
90104951,0,437,18,MILK,10,0,0.0,0,0
90104951,1,437,18,MILK,10,8,516.0,64.5,0
90104951,0,438,18,MILK,4,0,0.0,0,0
90104951,1,438,18,MILK,4,0,0.0,0,0
90104951,0,439,18,MILK,6,0,0.0,0,0
90104951,1,439,18,MILK,6,0,0.0,0,0
90104951,0,440,18,MILK,5,0,0.0,0,0
90104951,1,440,18,MILK,5,0,0.0,0,0
90104951,0,441,18,STRAWBERRY,26,0,0.0,0,0
90104951,1,441,18,STRAWBERRY,26,0,0.0,0,0
90104951,0,442,18,MILK,4,0,0.0,0,0
90104951,1,442,18,MILK,4,0,0.0,0,0
90104951,0,443,18,MILK,6,0,0.0,0,0
90104951,1,443,18,MILK,6,0,0.0,0,0
90104951,0,443,18,WOOL,13,13,27.0,2.076923,11
90104951,1,443,18,WOOL,2,2,2.0,1.0,2
90104951,0,444,18,MILK,25,0,0.0,0,0
90104951,1,444,18,MILK,25,0,0.0,0,0
90104951,0,444,18,WOOL,2,0,0.0,0,0
90104951,1,444,18,WOOL,2,2,2.0,1.0,2
90104951,0,445,18,STRAWBERRY,30,0,0.0,0,0
90104951,1,445,18,STRAWBERRY,30,0,0.0,0,0
90104951,0,445,18,WOOL,2,0,0.0,0,0
90104951,1,445,18,WOOL,2,2,16.0,8.0,0
90104951,0,447,18,WOOL,2,0,0.0,0,0
90104951,1,447,18,WOOL,2,2,2.0,1.0,2
90104951,0,448,18,WOOL,2,0,0.0,0,0
90104951,1,448,18,WOOL,2,2,2.0,1.0,2
90104951,0,449,18,WOOL,2,0,0.0,0,0
90104951,1,449,18,WOOL,2,2,2.0,1.0,2
90104951,0,450,18,STRAWBERRY,2,0,0.0,0,0
90104951,1,450,18,STRAWBERRY,2,0,0.0,0,0
90104951,0,450,18,MILK,8,0,0.0,0,0
90104951,1,450,18,MILK,8,0,0.0,0,0
90104951,0,455,18,WOOL,4,4,4.0,1.0,4
90104951,1,455,18,WOOL,4,4,4.0,1.0,4
90104951,0,456,19,WOOL,1,0,0.0,0,0
90104951,1,456,19,WOOL,1,1,1.0,1.0,1
90104951,0,457,19,WOOL,4,0,0.0,0,0
90104951,1,457,19,WOOL,4,0,0.0,0,0
90104951,0,461,19,WOOL,4,0,0.0,0,0
90104951,1,461,19,WOOL,4,0,0.0,0,0
90104951,0,463,19,STRAWBERRY,14,14,3485.0,248.928571,0
90104951,1,463,19,STRAWBERRY,2,2,502.0,251.0,0
90104951,0,464,19,STRAWBERRY,2,0,0.0,0,0
90104951,1,464,19,STRAWBERRY,2,2,494.0,247.0,0
90104951,0,465,19,STRAWBERRY,17,0,0.0,0,0
90104951,1,465,19,STRAWBERRY,17,10,2459.0,245.9,0
90104951,0,466,19,STRAWBERRY,3,0,0.0,0,0
90104951,1,466,19,STRAWBERRY,3,0,0.0,0,0
90104951,0,466,19,WOOL,4,0,0.0,0,0
90104951,1,466,19,WOOL,4,0,0.0,0,0
90104951,0,467,19,STRAWBERRY,15,0,0.0,0,0
90104951,1,467,19,STRAWBERRY,15,0,0.0,0,0
90104951,0,468,19,STRAWBERRY,2,0,0.0,0,0
90104951,1,468,19,STRAWBERRY,2,0,0.0,0,0
90104951,0,469,19,STRAWBERRY,2,0,0.0,0,0
90104951,1,469,19,STRAWBERRY,2,0,0.0,0,0
90104951,0,469,19,MILK,11,9,836.0,92.888889,0
90104951,1,469,19,MILK,11,9,666.0,74.0,0
90104951,0,470,19,STRAWBERRY,3,0,0.0,0,0
90104951,1,470,19,STRAWBERRY,3,0,0.0,0,0
90104951,0,470,19,WOOL,4,0,0.0,0,0
90104951,1,470,19,WOOL,4,0,0.0,0,0
90104951,0,471,19,STRAWBERRY,15,0,0.0,0,0
90104951,1,471,19,STRAWBERRY,15,0,0.0,0,0
90104951,0,471,19,MILK,11,0,0.0,0,0
90104951,1,471,19,MILK,11,0,0.0,0,0
90104951,0,472,19,STRAWBERRY,2,0,0.0,0,0
90104951,1,472,19,STRAWBERRY,2,0,0.0,0,0
90104951,0,474,19,STRAWBERRY,14,0,0.0,0,0
90104951,1,474,19,STRAWBERRY,14,0,0.0,0,0
90104951,0,475,19,MILK,15,0,0.0,0,0
90104951,1,475,19,MILK,15,0,0.0,0,0
90104951,0,477,19,MILK,14,0,0.0,0,0
90104951,1,477,19,MILK,14,0,0.0,0,0
90104951,0,478,19,STRAWBERRY,9,0,0.0,0,0
90104951,1,478,19,STRAWBERRY,9,0,0.0,0,0
90104951,0,480,20,STRAWBERRY,18,12,2867.0,238.916667,0
90104951,1,480,20,STRAWBERRY,18,12,2909.0,242.416667,0
90104951,0,480,20,MILK,15,15,480.0,32.0,0
90104951,1,480,20,MILK,9,9,65.0,7.222222,2
90104951,1,481,20,MILK,6,6,48.0,8.0,0
90104951,0,482,20,STRAWBERRY,18,0,0.0,0,0
90104951,1,482,20,STRAWBERRY,18,0,0.0,0,0
90104951,0,483,20,MILK,19,0,0.0,0,0
90104951,1,483,20,MILK,19,0,0.0,0,0
90104951,0,485,20,MILK,19,0,0.0,0,0
90104951,1,485,20,MILK,19,0,0.0,0,0
90104951,0,486,20,STRAWBERRY,30,0,0.0,0,0
90104951,1,486,20,STRAWBERRY,30,0,0.0,0,0
90104951,0,488,20,STRAWBERRY,4,0,0.0,0,0
90104951,1,488,20,STRAWBERRY,4,0,0.0,0,0
90104951,0,489,20,MILK,19,0,0.0,0,0
90104951,1,489,20,MILK,19,0,0.0,0,0
90104951,0,492,20,STRAWBERRY,3,2,481.0,240.5,0
90104951,1,492,20,STRAWBERRY,3,2,481.0,240.5,0
90104951,0,493,20,STRAWBERRY,3,0,0.0,0,0
90104951,1,493,20,STRAWBERRY,3,0,0.0,0,0
90104951,0,494,20,MELON,1,1,212.0,212.0,0
90104951,1,494,20,MELON,1,1,210.0,210.0,0
90104951,0,494,20,STRAWBERRY,6,0,0.0,0,0
90104951,1,494,20,STRAWBERRY,6,0,0.0,0,0
90104951,0,497,20,STRAWBERRY,3,0,0.0,0,0
90104951,1,497,20,STRAWBERRY,3,0,0.0,0,0
90104951,0,498,20,STRAWBERRY,10,0,0.0,0,0
90104951,1,498,20,STRAWBERRY,10,0,0.0,0,0
90104951,0,499,20,STRAWBERRY,6,0,0.0,0,0
90104951,1,499,20,STRAWBERRY,6,0,0.0,0,0
90104951,0,501,20,STRAWBERRY,3,0,0.0,0,0
90104951,1,501,20,STRAWBERRY,3,0,0.0,0,0
90104951,0,504,21,MELON,2,0,0.0,0,0
90104951,1,504,21,MELON,2,0,0.0,0,0
90104951,0,504,21,STRAWBERRY,21,14,3288.0,234.857143,0
90104951,1,504,21,STRAWBERRY,21,14,3288.0,234.857143,0
90104951,0,505,21,STRAWBERRY,27,0,0.0,0,0
90104951,1,505,21,STRAWBERRY,27,0,0.0,0,0
90104951,0,506,21,MELON,2,0,0.0,0,0
90104951,1,506,21,MELON,2,0,0.0,0,0
90104951,0,509,21,MILK,9,9,382.0,42.444444,0
90104951,0,510,21,MELON,2,0,0.0,0,0
90104951,1,510,21,MELON,2,0,0.0,0,0
90104951,0,510,21,MILK,2,0,0.0,0,0
90104951,0,511,21,MILK,2,0,0.0,0,0
90104951,0,512,21,MILK,2,0,0.0,0,0
90104951,0,513,21,MILK,1,0,0.0,0,0
90104951,1,517,21,MILK,2,2,104.0,52.0,0
90104951,1,518,21,MILK,2,2,96.0,48.0,0
90104951,0,519,21,MILK,2,0,0.0,0,0
90104951,1,519,21,MILK,2,2,87.0,43.5,0
90104951,0,520,21,MILK,2,0,0.0,0,0
90104951,1,520,21,MILK,2,2,78.0,39.0,0
90104951,0,521,21,MILK,2,0,0.0,0,0
90104951,1,521,21,MILK,2,1,42.0,42.0,0
90104951,0,523,21,MILK,2,0,0.0,0,0
90104951,1,523,21,MILK,2,0,0.0,0,0
90104951,0,524,21,MILK,1,0,0.0,0,0
90104951,1,524,21,MILK,1,0,0.0,0,0
90104951,0,525,21,MILK,2,0,0.0,0,0
90104951,1,525,21,MILK,2,0,0.0,0,0
90104951,0,526,21,STRAWBERRY,4,0,0.0,0,0
90104951,1,526,21,STRAWBERRY,4,0,0.0,0,0
90104951,0,526,21,MILK,1,1,38.0,38.0,0
90104951,0,526,21,WOOL,24,24,657.0,27.375,14
90104951,1,526,21,WOOL,20,20,653.0,32.65,10
90104951,0,527,21,MELON,12,0,0.0,0,0
90104951,1,527,21,MELON,12,0,0.0,0,0
90104951,0,527,21,STRAWBERRY,3,0,0.0,0,0
90104951,1,527,21,STRAWBERRY,3,0,0.0,0,0
90104951,0,528,22,STRAWBERRY,21,14,3288.0,234.857143,0
90104951,1,528,22,STRAWBERRY,21,14,3288.0,234.857143,0
90104951,0,528,22,MILK,11,11,243.0,22.090909,0
90104951,1,528,22,MILK,2,2,68.0,34.0,0
90104951,1,529,22,MILK,7,7,121.0,17.285714,0
90104951,1,529,22,WOOL,4,4,58.0,14.5,0
90104951,0,531,22,STRAWBERRY,21,0,0.0,0,0
90104951,1,531,22,STRAWBERRY,21,0,0.0,0,0
90104951,1,533,22,MILK,3,3,39.0,13.0,0
90104951,0,535,22,MILK,15,0,0.0,0,0
90104951,1,535,22,MILK,15,0,0.0,0,0
90104951,0,536,22,WOOL,24,0,0.0,0,0
90104951,1,536,22,WOOL,24,0,0.0,0,0
90104951,0,537,22,MILK,24,0,0.0,0,0
90104951,1,537,22,MILK,24,0,0.0,0,0
90104951,0,538,22,WOOL,24,0,0.0,0,0
90104951,1,538,22,WOOL,24,0,0.0,0,0
90104951,0,541,22,MILK,30,0,0.0,0,0
90104951,1,541,22,MILK,30,0,0.0,0,0
90104951,0,542,22,WOOL,44,0,0.0,0,0
90104951,1,542,22,WOOL,44,0,0.0,0,0
90104951,0,543,22,STRAWBERRY,3,0,0.0,0,0
90104951,1,543,22,STRAWBERRY,3,0,0.0,0,0
90104951,0,547,22,STRAWBERRY,9,2,477.0,238.5,0
90104951,1,547,22,STRAWBERRY,9,2,477.0,238.5,0
90104951,0,548,22,STRAWBERRY,9,0,0.0,0,0
90104951,1,548,22,STRAWBERRY,9,0,0.0,0,0
90104951,0,549,22,WOOL,2,0,0.0,0,0
90104951,1,549,22,WOOL,2,0,0.0,0,0
90104951,0,550,22,WOOL,12,0,0.0,0,0
90104951,1,550,22,WOOL,12,0,0.0,0,0
90104951,0,551,22,MELON,6,6,1266.0,211.0,0
90104951,1,551,22,MELON,2,2,411.0,205.5,0
90104951,0,551,22,STRAWBERRY,3,0,0.0,0,0
90104951,1,551,22,STRAWBERRY,3,0,0.0,0,0
90104951,0,552,23,STRAWBERRY,12,12,2749.0,229.083333,0
90104951,0,552,23,MILK,9,9,306.0,34.0,0
90104951,0,552,23,WOOL,8,0,0.0,0,0
90104951,1,552,23,WOOL,8,0,0.0,0,0
90104951,1,553,23,MELON,4,4,828.0,207.0,0
90104951,1,553,23,STRAWBERRY,8,8,1828.0,228.5,0
90104951,0,553,23,MILK,4,0,0.0,0,0
90104951,1,557,23,STRAWBERRY,4,4,911.0,227.75,0
90104951,1,557,23,MILK,2,2,87.0,43.5,0
90104951,1,558,23,MILK,2,2,78.0,39.0,0
90104951,1,559,23,MILK,2,2,70.0,35.0,0
90104951,0,560,23,STRAWBERRY,20,0,0.0,0,0
90104951,1,560,23,STRAWBERRY,20,0,0.0,0,0
90104951,0,561,23,MELON,8,0,0.0,0,0
90104951,1,561,23,MELON,8,0,0.0,0,0
90104951,1,561,23,MILK,3,3,108.0,36.0,0
90104951,0,562,23,STRAWBERRY,20,0,0.0,0,0
90104951,1,562,23,STRAWBERRY,20,0,0.0,0,0
90104951,0,562,23,MILK,5,0,0.0,0,0
90104951,1,562,23,MILK,5,0,0.0,0,0
90104951,0,563,23,MELON,8,0,0.0,0,0
90104951,1,563,23,MELON,8,0,0.0,0,0
90104951,0,564,23,MILK,5,0,0.0,0,0
90104951,1,564,23,MILK,5,0,0.0,0,0
90104951,0,565,23,MILK,1,0,0.0,0,0
90104951,1,565,23,MILK,1,0,0.0,0,0
90104951,0,566,23,STRAWBERRY,21,0,0.0,0,0
90104951,1,566,23,STRAWBERRY,21,0,0.0,0,0
90104951,0,566,23,MILK,5,0,0.0,0,0
90104951,1,566,23,MILK,5,0,0.0,0,0
90104951,0,566,23,WOOL,3,0,0.0,0,0
90104951,1,566,23,WOOL,3,0,0.0,0,0
90104951,0,567,23,MELON,11,0,0.0,0,0
90104951,1,567,23,MELON,11,0,0.0,0,0
90104951,0,569,23,STRAWBERRY,6,2,461.0,230.5,0
90104951,1,569,23,STRAWBERRY,6,2,461.0,230.5,0
90104951,0,569,23,MILK,1,0,0.0,0,0
90104951,1,569,23,MILK,1,0,0.0,0,0
90104951,0,570,23,MILK,2,2,94.0,47.0,0
90104951,1,570,23,MILK,2,2,94.0,47.0,0
90104951,0,571,23,MILK,2,0,0.0,0,0
90104951,1,571,23,MILK,2,0,0.0,0,0
90104951,0,573,23,STRAWBERRY,9,0,0.0,0,0
90104951,1,573,23,STRAWBERRY,9,0,0.0,0,0
90104951,0,573,23,MILK,15,0,0.0,0,0
90104951,1,573,23,MILK,15,0,0.0,0,0
90104951,0,576,24,MELON,8,6,1213.0,202.166667,0
90104951,1,576,24,MELON,8,6,1213.0,202.166667,0
90104951,0,576,24,STRAWBERRY,44,29,6294.0,217.034483,0
90104951,1,576,24,STRAWBERRY,44,29,6294.0,217.034483,0
90104951,0,578,24,MELON,10,0,0.0,0,0
90104951,1,578,24,MELON,10,0,0.0,0,0
90104951,0,578,24,STRAWBERRY,52,0,0.0,0,0
90104951,1,578,24,STRAWBERRY,52,0,0.0,0,0
90104951,0,582,24,MELON,9,0,0.0,0,0
90104951,1,582,24,MELON,9,0,0.0,0,0
90104951,0,589,24,STRAWBERRY,3,2,429.0,214.5,0
90104951,1,589,24,STRAWBERRY,3,2,429.0,214.5,0
90104951,0,594,24,STRAWBERRY,6,0,0.0,0,0
90104951,1,594,24,STRAWBERRY,6,0,0.0,0,0
90104951,0,595,24,STRAWBERRY,6,0,0.0,0,0
90104951,1,595,24,STRAWBERRY,6,0,0.0,0,0
90104951,0,596,24,MILK,15,15,1205.0,80.333333,0
90104951,0,597,24,STRAWBERRY,6,4,847.0,211.75,0
90104951,1,597,24,STRAWBERRY,6,4,854.0,213.5,0
90104951,0,597,24,MILK,8,3,204.0,68.0,0
90104951,1,597,24,MILK,8,8,448.0,56.0,0
90104951,0,598,24,MILK,2,0,0.0,0,0
90104951,0,599,24,MELON,8,0,0.0,0,0
90104951,1,599,24,MELON,8,0,0.0,0,0
90104951,0,599,24,STRAWBERRY,6,0,0.0,0,0
90104951,1,599,24,STRAWBERRY,6,0,0.0,0,0
90104951,0,600,25,STRAWBERRY,32,21,4254.0,202.571429,0
90104951,1,600,25,STRAWBERRY,32,20,4060.0,203.0,0
90104951,0,600,25,MILK,3,3,127.0,42.333333,0
90104951,1,600,25,MILK,3,3,127.0,42.333333,0
90104951,1,601,25,MILK,5,5,223.0,44.6,0
90104951,0,601,25,WOOL,21,21,2488.0,118.47619,0
90104951,1,601,25,WOOL,5,5,274.0,54.8,0
90104951,1,602,25,MILK,2,2,74.0,37.0,0
90104951,0,602,25,WOOL,9,0,0.0,0,0
90104951,1,602,25,WOOL,5,5,121.0,24.2,0
90104951,0,603,25,WOOL,3,0,0.0,0,0
90104951,1,603,25,WOOL,5,5,9.0,1.8,4
90104951,1,604,25,WOOL,2,2,2.0,1.0,2
90104951,1,605,25,MILK,3,3,114.0,38.0,0
90104951,1,605,25,WOOL,2,2,16.0,8.0,0
90104951,0,606,25,MILK,8,0,0.0,0,0
90104951,1,606,25,MILK,8,0,0.0,0,0
90104951,0,607,25,MILK,19,0,0.0,0,0
90104951,1,607,25,MILK,19,0,0.0,0,0
90104951,0,608,25,MILK,8,0,0.0,0,0
90104951,1,608,25,MILK,8,0,0.0,0,0
90104951,0,609,25,MILK,11,0,0.0,0,0
90104951,1,609,25,MILK,11,0,0.0,0,0
90104951,1,609,25,WOOL,2,2,16.0,8.0,0
90104951,0,611,25,WOOL,9,0,0.0,0,0
90104951,1,611,25,WOOL,9,0,0.0,0,0
90104951,0,612,25,MILK,8,0,0.0,0,0
90104951,1,612,25,MILK,8,0,0.0,0,0
90104951,0,612,25,WOOL,9,0,0.0,0,0
90104951,1,612,25,WOOL,9,0,0.0,0,0
90104951,0,613,25,MILK,11,0,0.0,0,0
90104951,1,613,25,MILK,11,0,0.0,0,0
90104951,0,613,25,WOOL,9,0,0.0,0,0
90104951,1,613,25,WOOL,9,0,0.0,0,0
90104951,0,617,25,STRAWBERRY,9,0,0.0,0,0
90104951,1,617,25,STRAWBERRY,9,0,0.0,0,0
90104951,0,617,25,MILK,18,0,0.0,0,0
90104951,1,617,25,MILK,18,0,0.0,0,0
90104951,0,617,25,WOOL,9,0,0.0,0,0
90104951,1,617,25,WOOL,9,0,0.0,0,0
90104951,0,619,25,STRAWBERRY,9,0,0.0,0,0
90104951,1,619,25,STRAWBERRY,9,0,0.0,0,0
90104951,0,622,25,MELON,8,0,0.0,0,0
90104951,1,622,25,MELON,8,0,0.0,0,0
90104951,0,625,26,MELON,8,6,1066.0,177.666667,0
90104951,1,625,26,MELON,8,6,1066.0,177.666667,0
90104951,0,625,26,STRAWBERRY,20,18,3542.0,196.777778,0
90104951,1,625,26,STRAWBERRY,16,16,3016.0,188.5,0
90104951,0,625,26,MILK,15,15,1014.0,67.6,0
90104951,1,625,26,MILK,12,12,472.0,39.333333,0
90104951,0,625,26,WOOL,1,0,0.0,0,0
90104951,1,625,26,WOOL,1,0,0.0,0,0
90104951,0,627,26,WOOL,2,0,0.0,0,0
90104951,1,627,26,WOOL,2,0,0.0,0,0
90104951,1,629,26,STRAWBERRY,4,4,742.0,185.5,0
90104951,1,629,26,MILK,3,3,90.0,30.0,0
90104951,0,631,26,STRAWBERRY,30,0,0.0,0,0
90104951,1,631,26,STRAWBERRY,30,0,0.0,0,0
90104951,0,631,26,WOOL,12,0,0.0,0,0
90104951,1,631,26,WOOL,12,0,0.0,0,0
90104951,0,632,26,MILK,19,0,0.0,0,0
90104951,1,632,26,MILK,19,0,0.0,0,0
90104951,0,633,26,STRAWBERRY,30,0,0.0,0,0
90104951,1,633,26,STRAWBERRY,30,0,0.0,0,0
90104951,0,633,26,MILK,19,0,0.0,0,0
90104951,1,633,26,MILK,19,0,0.0,0,0
90104951,0,637,26,STRAWBERRY,30,0,0.0,0,0
90104951,1,637,26,STRAWBERRY,30,0,0.0,0,0
90104951,0,637,26,MILK,38,0,0.0,0,0
90104951,1,637,26,MILK,38,0,0.0,0,0
90104951,0,649,27,MELON,8,6,1024.0,170.666667,0
90104951,1,649,27,MELON,8,6,1024.0,170.666667,0
90104951,0,649,27,STRAWBERRY,24,24,4619.0,192.458333,0
90104951,0,649,27,MILK,9,9,522.0,58.0,0
90104951,1,649,27,MILK,6,6,381.0,63.5,0
90104951,0,649,27,WOOL,20,20,2737.0,136.85,0
90104951,0,650,27,STRAWBERRY,3,0,0.0,0,0
90104951,0,650,27,WOOL,1,0,0.0,0,0
90104951,0,651,27,STRAWBERRY,3,0,0.0,0,0
90104951,0,651,27,WOOL,1,0,0.0,0,0
90104951,0,652,27,STRAWBERRY,3,0,0.0,0,0
90104951,0,652,27,WOOL,1,0,0.0,0,0
90104951,0,653,27,STRAWBERRY,3,0,0.0,0,0
90104951,1,653,27,STRAWBERRY,2,2,376.0,188.0,0
90104951,1,653,27,MILK,3,3,141.0,47.0,0
90104951,0,653,27,WOOL,1,0,0.0,0,0
90104951,1,653,27,WOOL,1,1,102.0,102.0,0
90104951,0,654,27,STRAWBERRY,3,0,0.0,0,0
90104951,1,654,27,STRAWBERRY,2,2,374.0,187.0,0
90104951,0,654,27,WOOL,1,0,0.0,0,0
90104951,1,654,27,WOOL,1,1,98.0,98.0,0
90104951,0,655,27,STRAWBERRY,3,0,0.0,0,0
90104951,1,655,27,STRAWBERRY,2,2,372.0,186.0,0
90104951,0,655,27,MILK,11,0,0.0,0,0
90104951,1,655,27,MILK,11,0,0.0,0,0
90104951,0,655,27,WOOL,1,0,0.0,0,0
90104951,1,655,27,WOOL,1,1,93.0,93.0,0
90104951,0,656,27,STRAWBERRY,2,0,0.0,0,0
90104951,1,656,27,STRAWBERRY,2,2,370.0,185.0,0
90104951,0,656,27,WOOL,1,0,0.0,0,0
90104951,1,656,27,WOOL,1,1,88.0,88.0,0
90104951,0,657,27,STRAWBERRY,3,0,0.0,0,0
90104951,1,657,27,STRAWBERRY,3,3,557.0,185.666667,0
90104951,0,657,27,MILK,11,0,0.0,0,0
90104951,1,657,27,MILK,11,0,0.0,0,0
