action_diff_calls,candidate_money,candidate_status,changed_calls,current_quantity,current_step,direction,done,future_quantity,future_step,item,margin,opponent,opponent_money,opponent_status,quantity,result,seat,seat_filter,seed
0,129589.0,DONE,0,3,551,delay,1,6,552,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103829.0,DONE,2,3,551,delay,1,6,552,MILK,-63.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,551,delay,1,6,552,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126301.0,DONE,2,6,552,delay,1,3,571,MILK,9.0,v22,126292.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,552,delay,1,3,571,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129617.0,DONE,2,6,552,delay,1,3,571,MILK,25.0,v22,129592.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,552,delay,1,3,571,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103882.0,DONE,2,6,552,delay,1,3,571,MILK,-3.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,552,delay,1,3,571,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126284.0,DONE,2,3,572,delay,1,9,576,MILK,-9.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,572,delay,1,9,576,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129577.0,DONE,2,3,572,delay,1,9,576,MILK,-191.0,v22,129768.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,572,delay,1,9,576,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103829.0,DONE,2,3,572,delay,1,9,576,MILK,-70.0,v22,103899.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,572,delay,1,9,576,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126301.0,DONE,2,9,576,delay,1,3,596,MILK,9.0,v22,126292.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,9,576,delay,1,3,596,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129589.0,DONE,2,9,576,delay,1,3,596,MILK,0.0,v22,129589.0,DONE,1,tie,0,0,42
0,129589.0,DONE,0,9,576,delay,1,3,596,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103883.0,DONE,2,9,576,delay,1,3,596,MILK,-2.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,9,576,delay,1,3,596,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126286.0,DONE,2,3,596,delay,1,6,598,MILK,-5.0,v22,126291.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,3,596,delay,1,6,598,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129583.0,DONE,2,3,596,delay,1,6,598,MILK,-13.0,v22,129596.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,3,596,delay,1,6,598,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103835.0,DONE,2,3,596,delay,1,6,598,MILK,-57.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,3,596,delay,1,6,598,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126286.0,DONE,2,6,598,delay,1,6,600,MILK,-7.0,v22,126293.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,598,delay,1,6,600,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129574.0,DONE,2,6,598,delay,1,6,600,MILK,-35.0,v22,129609.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,598,delay,1,6,600,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103829.0,DONE,2,6,598,delay,1,6,600,MILK,-63.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,598,delay,1,6,600,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126298.0,DONE,2,6,600,delay,1,9,619,MILK,3.0,v22,126295.0,DONE,1,win,0,0,17
0,126289.0,DONE,0,6,600,delay,1,9,619,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129612.0,DONE,2,6,600,delay,1,9,619,MILK,8.0,v22,129604.0,DONE,1,win,0,0,42
0,129589.0,DONE,0,6,600,delay,1,9,619,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103869.0,DONE,2,6,600,delay,1,9,619,MILK,-28.0,v22,103897.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,600,delay,1,9,619,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126284.0,DONE,2,9,619,delay,1,6,620,MILK,-8.0,v22,126292.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,9,619,delay,1,6,620,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129567.0,DONE,2,9,619,delay,1,6,620,MILK,-34.0,v22,129601.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,9,619,delay,1,6,620,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103828.0,DONE,2,9,619,delay,1,6,620,MILK,-64.0,v22,103892.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,9,619,delay,1,6,620,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
2,126288.0,DONE,2,6,620,delay,1,3,621,MILK,-3.0,v22,126291.0,DONE,1,loss,0,0,17
0,126289.0,DONE,0,6,620,delay,1,3,621,MILK,0.0,v22,126289.0,DONE,1,tie,1,0,17
2,129587.0,DONE,2,6,620,delay,1,3,621,MILK,-8.0,v22,129595.0,DONE,1,loss,0,0,42
0,129589.0,DONE,0,6,620,delay,1,3,621,MILK,0.0,v22,129589.0,DONE,1,tie,1,0,42
2,103841.0,DONE,2,6,620,delay,1,3,621,MILK,-44.0,v22,103885.0,DONE,1,loss,0,0,2026
0,103879.0,DONE,0,6,620,delay,1,3,621,MILK,36.0,v22,103843.0,DONE,1,win,1,0,2026
